"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"S100A11"	2.20069982242834e-11	0.520107469521432	0.722	0.479	5.84571893831639e-07	"1"	"S100A11"
"IFNG"	2.29513913320834e-11	0.791040245946655	0.291	0.125	6.09657807954131e-07	"1"	"IFNG"
"PCNXL2"	2.78289456649561e-11	0.609272117354352	0.45	0.248	7.39220283698228e-07	"1"	"PCNXL2"
"TMEM243"	2.8491405157827e-11	0.689179090454894	0.392	0.191	7.56817195207359e-07	"1"	"TMEM243"
"TOX"	3.52283147122986e-11	0.521856714768268	0.573	0.355	9.35769723702787e-07	"1"	"TOX"
"CD226"	3.55160880705798e-11	0.754841984187596	0.317	0.148	9.43413847418812e-07	"1"	"CD226"
"ADAM19"	6.1867586500401e-11	0.452645449860518	0.735	0.499	1.64338870021015e-06	"1"	"ADAM19"
"LRRC8D"	6.30917734658858e-11	0.687797460797638	0.282	0.118	1.67590677857432e-06	"1"	"LRRC8D"
"GIMAP5"	7.08719150098859e-11	0.593511964500402	0.537	0.315	1.8825706784076e-06	"1"	"GIMAP5"
"RP11-425L10.1"	8.1399008523744e-11	0.365076271876198	0.803	0.608	2.16220186341621e-06	"1"	"RP11-425L10.1"
"GIMAP4"	8.21009716554008e-11	0.579267681951823	0.625	0.378	2.18084811008241e-06	"1"	"GIMAP4"
"CD82"	9.3754712716416e-11	0.477990831700523	0.767	0.533	2.49040643388616e-06	"1"	"CD82"
"RUNX2"	9.99624534287474e-11	0.672473819338659	0.32	0.154	2.65530265042782e-06	"1"	"RUNX2"
"TPI1"	1.22507879609535e-10	0.357316125444593	0.893	0.697	3.25417680606808e-06	"1"	"TPI1"
"SLAMF6"	1.89356781736914e-10	0.649256080096265	0.359	0.176	5.02988419327765e-06	"1"	"SLAMF6"
"NOTCH2"	2.43978402316395e-10	0.491701740313577	0.531	0.318	6.48079830073039e-06	"1"	"NOTCH2"
"PPP1CC"	2.46619152663897e-10	0.634372145822891	0.427	0.227	6.5509445522111e-06	"1"	"PPP1CC"
"RNF19A"	4.31755127391607e-10	0.342920501081452	0.922	0.727	1.14687114489033e-05	"1"	"RNF19A"
"PASK"	4.64915774272849e-10	0.602700752094586	0.388	0.2	1.23495577120097e-05	"1"	"PASK"
"GIMAP7"	4.78191989743109e-10	0.576619721696551	0.586	0.35	1.27022138235462e-05	"1"	"GIMAP7"
"ST3GAL1"	9.73683418401595e-10	0.561538848582579	0.508	0.309	2.58639526430016e-05	"1"	"ST3GAL1"
"CD84"	1.00059000741459e-09	0.556794655567368	0.589	0.388	2.65786723669536e-05	"1"	"CD84"
"CCR7"	1.76235056699538e-09	0.673133423850921	0.288	0.134	4.68133181110982e-05	"1"	"CCR7"
"TBXAS1"	2.34380562027778e-09	0.697586047408021	0.252	0.112	6.22585086914386e-05	"1"	"TBXAS1"
"ZEB2"	2.48672043792521e-09	0.641612602957106	0.307	0.151	6.60547549926072e-05	"1"	"ZEB2"
"TESPA1"	3.40451554187195e-09	0.483187096072075	0.56	0.356	9.04341463387446e-05	"1"	"TESPA1"
"ADSL"	4.2693543542794e-09	0.597537481436543	0.405	0.213	0.000113406859712724	"1"	"ADSL"
"HMGN3"	4.52658497755429e-09	0.627124059310046	0.379	0.2	0.000120239676758775	"1"	"HMGN3"
"RDH10"	4.78708854277034e-09	0.581024696247736	0.252	0.108	0.000127159432961609	"1"	"RDH10"
"PRELID1"	4.97000532900577e-09	0.521319200736949	0.644	0.406	0.00013201825155438	"1"	"PRELID1"
"APEX1"	4.9788740239398e-09	0.635470179117402	0.304	0.143	0.000132253830697913	"1"	"APEX1"
"N4BP2"	5.1992216641176e-09	0.579521716053198	0.282	0.134	0.000138106925063956	"1"	"N4BP2"
"RPL27"	5.36447163824341e-09	0.268772563099592	0.932	0.768	0.00014249646012666	"1"	"RPL27"
"SNORD3C"	5.37451521028494e-09	0.484242134885978	0.311	0.148	0.000142763247530799	"1"	"SNORD3C"
"TIAM1"	5.51021362745894e-09	0.477063061260661	0.544	0.36	0.000146367804586192	"1"	"TIAM1"
