"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"GK"	1.46368514543091e-11	0.809858974371897	0.658	0.428	3.88798685180812e-07	"2"	"GK"
"DNAJB4"	1.75665426298552e-11	0.937467389791228	0.412	0.165	4.66620071876844e-07	"2"	"DNAJB4"
"NFE2L2"	2.22234483925339e-11	0.748790237063391	0.614	0.365	5.90321459650878e-07	"2"	"NFE2L2"
"MXD1"	3.70336402669564e-11	0.850872532564607	0.412	0.16	9.83724586411163e-07	"2"	"MXD1"
"UBE2B"	4.12995374197638e-11	0.625149361604364	0.719	0.471	1.09703961248119e-06	"2"	"UBE2B"
"SNAP23"	5.53787825010029e-11	0.745146732727329	0.614	0.348	1.47102659957414e-06	"2"	"SNAP23"
"NUSAP1"	8.26602694809852e-11	0.951956744247479	0.368	0.141	2.19570473822341e-06	"2"	"NUSAP1"
"RP11-676M6.1"	1.41235250058777e-10	0.762818308606415	0.491	0.238	3.75163194731131e-06	"2"	"RP11-676M6.1"
"DUSP4"	1.43021904198356e-10	0.346350751830161	0.895	0.744	3.79909084122093e-06	"2"	"DUSP4"
"CYP51A1"	1.49310224314954e-10	0.85146984961409	0.404	0.167	3.96612748847812e-06	"2"	"CYP51A1"
"RELB"	1.51153542764635e-10	0.882873311523912	0.421	0.179	4.015091556457e-06	"2"	"RELB"
"PPIL4"	1.6034279616509e-10	0.850242073041937	0.456	0.202	4.25918569453328e-06	"2"	"PPIL4"
"GEM"	3.0282781535078e-10	0.901212587341228	0.447	0.215	8.04401525916276e-06	"2"	"GEM"
"SLC38A2"	3.91624288621663e-10	0.685879123116481	0.684	0.449	1.04027159786572e-05	"2"	"SLC38A2"
"MB21D1"	5.16976147888558e-10	0.851284720620192	0.333	0.121	1.37324374163638e-05	"2"	"MB21D1"
"CD55"	5.87055276428966e-10	0.825412471379921	0.482	0.228	1.55939493077826e-05	"2"	"CD55"
"SNHG16"	7.16058028919911e-10	0.867111683278319	0.412	0.185	1.90206494221996e-05	"2"	"SNHG16"
"RANGAP1"	1.06799014411246e-09	0.74807249270617	0.553	0.29	2.83690221980592e-05	"2"	"RANGAP1"
"RP11-159J3.1"	1.20139474103334e-09	0.58340971383019	0.474	0.242	3.19126485060685e-05	"2"	"RP11-159J3.1"
"HSPE1-MOB4"	1.21691994060439e-09	0.91248887990796	0.342	0.139	3.23250443822745e-05	"2"	"HSPE1-MOB4"
"CDKN1A"	1.21792426362979e-09	0.775747934134425	0.526	0.271	3.2351722214798e-05	"2"	"CDKN1A"
"YPEL5"	1.30034753851597e-09	0.45560544311616	0.763	0.592	3.45411316655996e-05	"2"	"YPEL5"
"RP11-265N6.1"	1.39951463479124e-09	0.74363043023988	0.456	0.219	3.71753072439597e-05	"2"	"RP11-265N6.1"
"CCT31"	1.90989106762018e-09	0.622430830019704	0.675	0.42	5.07324364291948e-05	"2"	"CCT3"
"CNIH1"	2.11221082084224e-09	0.705147925094662	0.553	0.335	5.61066560340324e-05	"2"	"CNIH1"
"NR4A1"	2.22771597487774e-09	0.801042686453742	0.526	0.274	5.91748194406774e-05	"2"	"NR4A1"
"LDHAP7"	2.25150630073851e-09	0.508570981907498	0.614	0.343	5.98067618665169e-05	"2"	"LDHAP7"
"OSER1"	2.27599451557289e-09	0.904116590858715	0.395	0.178	6.04572423171627e-05	"2"	"OSER1"
"CD83"	2.67624858504773e-09	1.00613500590521	0.351	0.152	7.10891911646229e-05	"2"	"CD83"
"RAB11FIP1"	2.92538659316458e-09	0.596592172430666	0.737	0.457	7.77070440742307e-05	"2"	"RAB11FIP1"
"STIP1"	3.00762919370647e-09	0.64425429731711	0.667	0.404	7.98916542724249e-05	"2"	"STIP1"
"RHBDD2"	3.11077120644801e-09	0.576179964971548	0.746	0.511	8.26314155568786e-05	"2"	"RHBDD2"
"SQSTM1"	3.90900496541874e-09	0.520356975636416	0.737	0.536	0.000103834898896418	"2"	"SQSTM1"
"LMNA"	3.9823646867085e-09	0.786123749085104	0.526	0.284	0.000105783553173038	"2"	"LMNA"
"PDCL3"	3.99465608665005e-09	0.793251782632939	0.456	0.225	0.000106110049629685	"2"	"PDCL3"
"TUBB4B"	4.46531223482837e-09	0.664256540811451	0.614	0.382	0.000118612088893746	"2"	"TUBB4B"
"PGAP1"	7.18743625235094e-09	0.880410118545268	0.316	0.125	0.000190919869171198	"2"	"PGAP1"
"HSPA5"	8.07844389025739e-09	0.543070553091058	0.754	0.539	0.000214587705056907	"2"	"HSPA5"
"HNRNPCP2"	1.35695052738434e-08	0.333935809168362	0.86	0.711	0.000360446768589104	"2"	"HNRNPCP2"
"PRKY"	1.52218558778222e-08	0.669569399973284	0.289	0.104	0.000404338157682592	"2"	"PRKY"
"TAGLN2"	1.55381613388631e-08	0.374574770710619	0.877	0.698	0.00041274017964422	"2"	"TAGLN2"
"SMC4"	1.63493188297958e-08	0.760366141472288	0.535	0.294	0.000434286956075865	"2"	"SMC4"
"WDR74"	1.72371442643864e-08	0.845652379009895	0.5	0.299	0.000457870263094897	"2"	"WDR74"
"USPL1"	2.35314732513111e-08	0.804366720303678	0.307	0.12	0.000625066523974578	"2"	"USPL1"
"AHI11"	2.43495112826353e-08	0.771186128504601	0.5	0.261	0.000646796068200642	"2"	"AHI1"
"EIF5"	2.47814024492972e-08	0.496186521247616	0.737	0.536	0.000658268393260681	"2"	"EIF5"
"AHR"	2.89551103630367e-08	0.782629272331914	0.447	0.238	0.000769134596573343	"2"	"AHR"
"DCTN6"	2.97178854287861e-08	0.718921668497703	0.456	0.222	0.000789396190644845	"2"	"DCTN6"
"HYPK"	3.00555202068301e-08	0.803155607858286	0.395	0.187	0.000798364783254028	"2"	"HYPK"
"RP11-373L24.1"	3.83063795543141e-08	0.788801176843914	0.439	0.229	0.00101753236010125	"2"	"RP11-373L24.1"
"JMJD6"	3.85924567901106e-08	0.769097063269046	0.421	0.197	0.00102513142971571	"2"	"JMJD6"
"PAFAH1B2"	4.70709282719457e-08	0.575638481298246	0.719	0.453	0.00125034506768769	"2"	"PAFAH1B2"
"KDM6B"	5.50330788454797e-08	0.597488919342848	0.553	0.3	0.00146184367337248	"2"	"KDM6B"
"H2AFV"	6.29882629775045e-08	0.779928590882513	0.43	0.219	0.00167315722947145	"2"	"H2AFV"
"NFKB1"	7.57949025073676e-08	0.760591891480278	0.404	0.198	0.00201333999530321	"2"	"NFKB1"
"MORF4L2"	7.96428954495354e-08	0.6642705741333	0.57	0.354	0.00211555423182601	"2"	"MORF4L2"
"RP11-169K16.8"	8.55050013553093e-08	0.485793510628775	0.719	0.472	0.00227126935100108	"2"	"RP11-169K16.8"
"HSPA8P8"	9.77489682826616e-08	0.41602873099471	0.404	0.192	0.00259650584449234	"2"	"HSPA8P8"
"RP11-138A9.1"	9.94311279833119e-08	0.556249387716953	0.658	0.433	0.00264118905262071	"2"	"RP11-138A9.1"
"HSPA4"	1.05713511024613e-07	0.73674153150875	0.535	0.329	0.0028080679933468	"2"	"HSPA4"
"GLA"	1.19197662539488e-07	0.908711686421946	0.272	0.106	0.00316624751003642	"2"	"GLA"
"MTHFD21"	1.3856579107249e-07	0.583870269553672	0.605	0.401	0.00368072310825855	"2"	"MTHFD2"
"LAMTOR3"	1.72736597557647e-07	0.73232639340805	0.342	0.14	0.00458840224092377	"2"	"LAMTOR3"
"HSP90AA6P"	1.74845578485828e-07	0.494909518536402	0.307	0.128	0.00464442310131906	"2"	"HSP90AA6P"
"HSPA8P1"	1.88828108774514e-07	0.432246536005703	0.632	0.455	0.00501584105337741	"2"	"HSPA8P1"
"TIFA"	1.97463087225141e-07	0.815939711492138	0.368	0.181	0.00524521198596141	"2"	"TIFA"
"LIMA1"	2.38817668818729e-07	0.787384101623164	0.36	0.175	0.0063437137368319	"2"	"LIMA1"
"SELK"	2.47523491663597e-07	0.548066158240423	0.632	0.433	0.00657496650906013	"2"	"SELK"
"LARP4"	2.5298720120541e-07	0.804969031878121	0.36	0.174	0.00672009902561931	"2"	"LARP4"
"NEU1"	2.8743486287626e-07	0.790783912245563	0.395	0.201	0.0076351322625821	"2"	"NEU1"
"USP12"	3.72839816854318e-07	0.568554838894354	0.281	0.111	0.00990374405510124	"2"	"USP12"
"SLBP"	3.91087744274369e-07	0.713210477454436	0.395	0.19	0.0103884637511601	"2"	"SLBP"
"SDCBP"	4.10621788660586e-07	0.584308884345492	0.596	0.406	0.0109073465721911	"2"	"SDCBP"
"HCG4P5"	4.45836842074534e-07	0.372442233655726	0.86	0.629	0.0118427640360258	"2"	"HCG4P5"
"SH3TC1"	5.27595046570217e-07	0.723715987740818	0.421	0.226	0.0140145072220447	"2"	"SH3TC1"
"EIF1AD"	5.65908714208389e-07	0.712378599473206	0.368	0.176	0.0150322331755174	"2"	"EIF1AD"
"DENND4A"	6.13165561421243e-07	0.685562211260695	0.43	0.229	0.0162875168080325	"2"	"DENND4A"
"HSPA8P5"	6.33510069643315e-07	0.268095128608942	0.395	0.194	0.0168279279799354	"2"	"HSPA8P5"
"RBBP8"	6.66827199866266e-07	0.733196883272044	0.281	0.118	0.0177129309100476	"2"	"RBBP8"
"CSRNP1"	7.05934163636375e-07	0.601619641370459	0.579	0.37	0.018751729188673	"2"	"CSRNP1"
"DNTTIP2"	7.390084921082e-07	0.771948444057841	0.386	0.204	0.0196302825758701	"2"	"DNTTIP2"
"PDZD8"	7.78744895849085e-07	0.596170477145577	0.281	0.115	0.0206858006684392	"2"	"PDZD8"
"UPF3B"	8.4106079672684e-07	0.675076983413517	0.351	0.168	0.0223410979434551	"2"	"UPF3B"
"ZNF331"	9.0267950071907e-07	0.386226461145321	0.807	0.64	0.0239778755776007	"2"	"ZNF331"
"STAT3"	9.14132012588257e-07	0.320718050818983	0.842	0.711	0.0242820886503819	"2"	"STAT3"
"TNFRSF4"	9.41624489853953e-07	0.495706389819199	0.728	0.491	0.0250123713239906	"2"	"TNFRSF4"
"PPP1R15A"	1.16942702635648e-06	0.2746911265059	0.877	0.754	0.0310634901011073	"2"	"PPP1R15A"
"STX11"	1.26851095054192e-06	0.757987236437677	0.281	0.122	0.0336954563792451	"2"	"STX11"
"ZBTB1"	1.42103248198702e-06	0.68280237336511	0.482	0.301	0.0377468858190212	"2"	"ZBTB1"
"PITPNB"	1.56929924220774e-06	0.656468600044173	0.482	0.271	0.0416852957707642	"2"	"PITPNB"
"B4GALT1"	1.74826883712864e-06	0.312334923213129	0.877	0.746	0.0464392651206481	"2"	"B4GALT1"
"CCT6A"	2.0504434352512e-06	0.569882616566415	0.561	0.361	0.0544659289705777	"2"	"CCT6A"
"MAP1LC3B2"	2.19770575449826e-06	0.534515696234322	0.57	0.374	0.0583776579567372	"2"	"MAP1LC3B2"
"BHLHE401"	2.26140158588852e-06	0.629861592426727	0.526	0.344	0.0600696103259569	"2"	"BHLHE40"
"STAT5A"	2.26533276593831e-06	0.630445402881079	0.447	0.249	0.0601740342616194	"2"	"STAT5A"
"MKLN1-AS1"	2.44398840845703e-06	0.479889625588488	0.702	0.509	0.0649196640938441	"2"	"MKLN1-AS1"
"PDE3B"	2.44492227898487e-06	0.595478984031701	0.465	0.259	0.0649444704966751	"2"	"PDE3B"
"XBP1"	2.50770281411113e-06	0.730649764932479	0.298	0.135	0.0666121098512339	"2"	"XBP1"
"RGCC"	2.72233702023028e-06	0.655663406117184	0.456	0.264	0.072313438268377	"2"	"RGCC"
"CCDC117"	2.85756306457309e-06	0.507533070084006	0.404	0.205	0.0759054476842551	"2"	"CCDC117"
"PPP1R2"	3.01988450049044e-06	0.381852130901486	0.746	0.599	0.0802171919865275	"2"	"PPP1R2"
"ACAT2"	3.70850057019354e-06	0.650837191712258	0.263	0.113	0.098508900646051	"2"	"ACAT2"
"GSPT1"	3.73845727384955e-06	0.540074659538645	0.561	0.35	0.0993046405652656	"2"	"GSPT1"
"RSL1D1"	3.7582294818099e-06	0.536190408326187	0.605	0.409	0.0998298497253163	"2"	"RSL1D1"
"MAP1LC3B"	3.80167880646269e-06	0.452402307416496	0.64	0.461	0.100983994136068	"2"	"MAP1LC3B"
"ZNF326"	3.92802807483617e-06	0.59921014977326	0.263	0.112	0.104340209751873	"2"	"ZNF326"
"SAMSN1"	4.19837906443701e-06	0.44090870554075	0.763	0.555	0.11152154308864	"2"	"SAMSN1"
"AC003104.1"	4.35245857588979e-06	0.515274737467398	0.5	0.285	0.115614357151361	"2"	"AC003104.1"
"GPBP1"	5.28350621742438e-06	0.428437632697008	0.746	0.576	0.140345775653444	"2"	"GPBP1"
"RP11-51J9.5"	5.32661638063504e-06	0.600711144902963	0.404	0.202	0.141490910918809	"2"	"RP11-51J9.5"
"NR3C11"	5.45131200553059e-06	0.480388127273034	0.658	0.503	0.144803200802909	"2"	"NR3C1"
"HERPUD1"	5.59748554515056e-06	0.425574934315392	0.737	0.543	0.148686008535834	"2"	"HERPUD1"
"FAAH2"	5.742768698529e-06	0.600555517599381	0.482	0.297	0.152545164939026	"2"	"FAAH2"
"RP11-1100L3.8"	6.07713082332104e-06	0.691873070718892	0.36	0.186	0.161426826059877	"2"	"RP11-1100L3.8"
"CCT5"	6.41656689040741e-06	0.631511484758275	0.43	0.264	0.170443266309892	"2"	"CCT5"
"PIM1"	6.66638793086293e-06	0.536025680609265	0.579	0.356	0.177079262607512	"2"	"PIM1"
"HBP1"	7.62695415547756e-06	0.609437261222046	0.5	0.332	0.20259478323195	"2"	"HBP1"
"HBS1L"	8.21580205535736e-06	0.59929203015896	0.535	0.352	0.218236349996458	"2"	"HBS1L"
"PPID"	9.26142475198322e-06	0.642613670786101	0.351	0.182	0.24601122568693	"2"	"PPID"
"RTN3"	9.720297373485e-06	0.610239988254613	0.421	0.233	0.258200259131882	"2"	"RTN3"
"EMD"	1.07955668288924e-05	0.529145062209469	0.544	0.348	0.286762641675868	"2"	"EMD"
"LDHAP4"	1.11170765308309e-05	0.363817214029757	0.728	0.548	0.295302903888462	"2"	"LDHAP4"
"DAPP11"	1.15564990870154e-05	0.67569584120534	0.386	0.222	0.306975285248389	"2"	"DAPP1"
"ARID4B"	1.16160516598119e-05	0.376396645681859	0.789	0.621	0.308557180239585	"2"	"ARID4B"
"GOLGB1"	1.16747634629211e-05	0.531025689551637	0.518	0.323	0.310116741865573	"2"	"GOLGB1"
"ST13"	1.20493148606566e-05	0.453415605115318	0.684	0.474	0.32006595064362	"2"	"ST13"
"YBX1"	1.32971287783415e-05	0.558414194394739	0.474	0.286	0.353211631739086	"2"	"YBX1"
"NAF1"	1.33705611069192e-05	0.56994450148893	0.263	0.118	0.355162214683094	"2"	"NAF1"
"PTP4A1"	1.39301043369285e-05	0.450505282446063	0.64	0.426	0.370025361501833	"2"	"PTP4A1"
"C5orf45"	1.51364438739781e-05	0.475885964694346	0.623	0.427	0.402069358624481	"2"	"C5orf45"
"H2AFZ1"	1.54197274185191e-05	0.42651690791038	0.737	0.542	0.409594219418123	"2"	"H2AFZ"
"ELOVL5"	1.57562679597425e-05	0.395216600414662	0.684	0.532	0.41853374581464	"2"	"ELOVL5"
"SAP18"	1.60157157260149e-05	0.441635672527642	0.649	0.451	0.425425456830133	"2"	"SAP18"
"PPP1R2P3"	1.68895401687568e-05	0.438474230068255	0.456	0.273	0.448636855502688	"2"	"PPP1R2P3"
"FABP51"	1.75828346053713e-05	0.637158768346566	0.36	0.194	0.467052835622478	"2"	"FABP5"
"HNRNPUL1"	1.78336424135225e-05	0.455406824288715	0.675	0.505	0.473715043430397	"2"	"HNRNPUL1"
"INSIG1"	1.78911141181808e-05	0.637799421005088	0.368	0.21	0.475241664321237	"2"	"INSIG1"
"BCL10"	1.79221009150893e-05	0.544277904888251	0.482	0.3	0.476064766607518	"2"	"BCL10"
"ICAM1"	1.96015123844043e-05	0.653181424237841	0.281	0.133	0.52067497346693	"2"	"ICAM1"
"RIC8A"	2.03639856452642e-05	0.58827692611672	0.421	0.248	0.540928550695152	"2"	"RIC8A"
"DYNLL1"	2.0963212486873e-05	0.478320968735577	0.553	0.386	0.556845813288808	"2"	"DYNLL1"
"GRAMD3"	2.1256048723617e-05	0.634167022878165	0.298	0.147	0.564624422245438	"2"	"GRAMD3"
"GPN1"	2.21339363431574e-05	0.638289082854361	0.333	0.183	0.58794375108329	"2"	"GPN1"
"ATP2B1"	2.23506012107552e-05	0.542886757725307	0.439	0.254	0.59369901996129	"2"	"ATP2B1"
"JOSD1"	2.28290348473497e-05	0.571576383080032	0.316	0.159	0.60640765265015	"2"	"JOSD1"
"RP11-138A9.2"	2.30657060774313e-05	0.373186322766586	0.781	0.599	0.612694350534808	"2"	"RP11-138A9.2"
"RUNX21"	3.01690170600632e-05	0.617624532896274	0.342	0.184	0.801379600166458	"2"	"RUNX2"
"ISCA1"	3.17978650852937e-05	0.690017886944795	0.289	0.15	0.844646690260657	"2"	"ISCA1"
"HSPA8P9"	3.32483702966303e-05	0.285236558038954	0.395	0.227	0.883176460189391	"2"	"HSPA8P9"
"ELL2"	3.34958696569676e-05	0.566246025293756	0.307	0.153	0.889750785698032	"2"	"ELL2"
"HLA-J"	3.57977875661261e-05	0.252950458471836	0.939	0.892	0.950896631119007	"2"	"HLA-J"
"AZIN11"	3.63175611134967e-05	0.541878675623096	0.482	0.3	0.964703375857812	"2"	"AZIN1"
"FTH1P8"	3.80574424320805e-05	0.458787376211625	0.351	0.194	1	"2"	"FTH1P8"
"DNAJB11"	3.83269005804158e-05	0.512817166675616	0.526	0.351	1	"2"	"DNAJB11"
"MRPL47"	4.13609187200302e-05	0.642442981332233	0.289	0.145	1	"2"	"MRPL47"
"MBNL2"	4.15722191849822e-05	0.633618556171449	0.316	0.169	1	"2"	"MBNL2"
"WSB1"	4.42409148504095e-05	0.373884840398407	0.746	0.61	1	"2"	"WSB1"
"USP36"	4.44404271286458e-05	0.467625066888469	0.605	0.436	1	"2"	"USP36"
"RP11-611O2.3"	4.45482261891301e-05	0.549864987197403	0.395	0.225	1	"2"	"RP11-611O2.3"
"WTAP"	4.6490567817922e-05	0.29178692481091	0.825	0.74	1	"2"	"WTAP"
"DUSP5"	5.11085097964553e-05	0.538175742636534	0.289	0.145	1	"2"	"DUSP5"
"SUMO1P3"	5.53085040196691e-05	0.575281784174658	0.307	0.158	1	"2"	"SUMO1P3"
"CDC5L"	5.61769073427074e-05	0.460433966073327	0.342	0.182	1	"2"	"CDC5L"
"TMEM11"	5.62346198815729e-05	0.661753855383615	0.263	0.13	1	"2"	"TMEM11"
"ATP1B31"	6.27628200189914e-05	0.499213553413173	0.518	0.377	1	"2"	"ATP1B3"
"MUM1"	6.4995668600988e-05	0.575632857611935	0.272	0.134	1	"2"	"MUM1"
"SEC24A"	6.51413270659707e-05	0.612967270182779	0.254	0.125	1	"2"	"SEC24A"
"ADRM1"	6.8180124164735e-05	0.498262707155497	0.544	0.342	1	"2"	"ADRM1"
"RAP2B1"	7.35397954890593e-05	0.448959462963814	0.518	0.334	1	"2"	"RAP2B"
"LDHAP3"	7.43389880624157e-05	0.326409917996099	0.5	0.309	1	"2"	"LDHAP3"
"NINJ1"	7.58010366629955e-05	0.582943467008692	0.404	0.248	1	"2"	"NINJ1"
"UBE2K"	7.66865717671296e-05	0.545145499258953	0.474	0.296	1	"2"	"UBE2K"
"TAF13"	7.83435610952319e-05	0.548948415167392	0.325	0.171	1	"2"	"TAF13"
"YWHAE"	7.92273739822067e-05	0.318741061539279	0.851	0.663	1	"2"	"YWHAE"
"POLR3E"	8.27959707122681e-05	0.468122219223161	0.579	0.4	1	"2"	"POLR3E"
"GFPT1"	8.29327015026806e-05	0.486074330647561	0.316	0.164	1	"2"	"GFPT1"
"PPP4R2"	8.90597038092328e-05	0.496196429369169	0.395	0.227	1	"2"	"PPP4R2"
"GPX1"	9.25450246805827e-05	0.442406915837543	0.57	0.394	1	"2"	"GPX1"
"ESYT2"	9.61423159973494e-05	0.592065389638458	0.351	0.206	1	"2"	"ESYT2"
"METTL21A"	9.73376886582114e-05	0.454762164408574	0.316	0.17	1	"2"	"METTL21A"
"MRPL32"	0.000100766340153127	0.643937675428087	0.289	0.155	1	"2"	"MRPL32"
"SESN3"	0.000100871402334917	0.532766503964357	0.377	0.219	1	"2"	"SESN3"
"SLC5A3"	0.000106157137761738	0.475176832432954	0.368	0.213	1	"2"	"SLC5A3"
"EIF4A3"	0.000114783664127971	0.492525418223365	0.447	0.304	1	"2"	"EIF4A3"
"NR4A3"	0.00011647562547076	0.517009301592332	0.351	0.2	1	"2"	"NR4A3"
"ABCC1"	0.000122859643247231	0.522585561762257	0.465	0.308	1	"2"	"ABCC1"
"PAIP2"	0.00012993216639229	0.267264864829229	0.702	0.606	1	"2"	"PAIP2"
"NFKBID"	0.000135948319865169	0.608536400230886	0.307	0.17	1	"2"	"NFKBID"
"GPR561"	0.000139349513485858	0.644233284680836	0.289	0.155	1	"2"	"GPR56"
"RYBP"	0.000142016193384273	0.464452658453389	0.289	0.152	1	"2"	"RYBP"
"GPX4"	0.000143070890796215	0.40526593374479	0.632	0.467	1	"2"	"GPX4"
"SNX3"	0.000147062930102579	0.53058777777343	0.289	0.144	1	"2"	"SNX3"
"RHEB"	0.000151906171481939	0.546968454874056	0.351	0.204	1	"2"	"RHEB"
"FAM177A1"	0.000154659548651536	0.495847394148358	0.491	0.331	1	"2"	"FAM177A1"
"HMGCS1"	0.000167671653898123	0.480795146461486	0.404	0.247	1	"2"	"HMGCS1"
"UBE2D3P2"	0.000173589438069211	0.465367383122908	0.333	0.184	1	"2"	"UBE2D3P2"
"CCDC64"	0.000180460114249244	0.536818582048446	0.36	0.211	1	"2"	"CCDC64"
"CEP120"	0.00018672356379617	0.517043681775261	0.316	0.175	1	"2"	"CEP120"
"SUMO1"	0.000190480508291909	0.401249414349717	0.693	0.495	1	"2"	"SUMO1"
"BNIP3L"	0.000195652722103185	0.49218569317774	0.439	0.26	1	"2"	"BNIP3L"
"NAB1"	0.00019642484554349	0.507067020079905	0.491	0.349	1	"2"	"NAB1"
"AKTIP"	0.000199580107221429	0.611466172260927	0.368	0.233	1	"2"	"AKTIP"
"STX5"	0.000204883360283342	0.428008480853869	0.272	0.141	1	"2"	"STX5"
"PIM3"	0.000205402006953361	0.584584397100589	0.377	0.233	1	"2"	"PIM3"
"FTH1P20"	0.000211864993751984	0.403537928444052	0.368	0.221	1	"2"	"FTH1P20"
"FAM107B1"	0.000237880344058451	0.459923694342876	0.553	0.386	1	"2"	"FAM107B"
"SUPT16H"	0.000238710351060891	0.464373692730143	0.456	0.29	1	"2"	"SUPT16H"
"TSHZ21"	0.000257416294305837	0.339544584389068	0.386	0.228	1	"2"	"TSHZ2"
"RSL24D1"	0.000259136118541585	0.484047496434934	0.456	0.292	1	"2"	"RSL24D1"
"SKIL"	0.000264058850963234	0.511749969319203	0.465	0.32	1	"2"	"SKIL"
"CYTH1"	0.000264283468519684	0.336947500759273	0.719	0.575	1	"2"	"CYTH1"
"ST13P4"	0.000268888118316104	0.324276266717424	0.281	0.151	1	"2"	"ST13P4"
"RALA1"	0.000271832531162441	0.565947988687155	0.36	0.212	1	"2"	"RALA"
"KDM5B"	0.0002762026269719	0.503547375503573	0.386	0.235	1	"2"	"KDM5B"
"CKS2"	0.000288248933550706	0.5647989307276	0.342	0.196	1	"2"	"CKS2"
"RAB1A"	0.000290792812369342	0.495503265426824	0.465	0.309	1	"2"	"RAB1A"
"CTB-36O1.7"	0.00029138851523591	0.381722685618992	0.342	0.195	1	"2"	"CTB-36O1.7"
"MBOAT7"	0.000293914708533463	0.59119434354022	0.289	0.162	1	"2"	"MBOAT7"
"LIMS3L"	0.000311745845383651	0.318084386742591	0.316	0.185	1	"2"	"LIMS3L"
"MAGOH"	0.000312315074478565	0.548519898405885	0.298	0.165	1	"2"	"MAGOH"
"HIBCH"	0.000312427183464005	0.607173770305162	0.307	0.176	1	"2"	"HIBCH"
"TOR1AIP2"	0.000314281921365118	0.367577173992452	0.649	0.495	1	"2"	"TOR1AIP2"
"S100A10"	0.000314825147463936	0.393040744260693	0.579	0.437	1	"2"	"S100A10"
"RBM141"	0.000322004570804279	0.466922742161535	0.395	0.234	1	"2"	"RBM14"
"CCDC59"	0.000322295013492805	0.542371173917981	0.307	0.175	1	"2"	"CCDC59"
"EZH2"	0.000325743114587454	0.48451737380348	0.5	0.354	1	"2"	"EZH2"
"CXCL131"	0.000332162624302926	0.586947358743078	0.404	0.257	1	"2"	"CXCL13"
"CD59"	0.000341020883157644	0.554521805990384	0.342	0.194	1	"2"	"CD59"
"RASGEF1B"	0.000342059338482816	0.460309538293141	0.395	0.238	1	"2"	"RASGEF1B"
"TANK"	0.000348456960694958	0.336981058070555	0.728	0.581	1	"2"	"TANK"
"HNRNPU"	0.000351187208682343	0.310359213895216	0.702	0.587	1	"2"	"HNRNPU"
"GNB1"	0.000358680175854846	0.528111998962724	0.404	0.273	1	"2"	"GNB1"
"PRPF4"	0.000361970665795604	0.567423616894956	0.254	0.134	1	"2"	"PRPF4"
"TOB2"	0.000367542794689658	0.445597810222684	0.386	0.235	1	"2"	"TOB2"
"FXR1"	0.000379311779864614	0.490701075170008	0.43	0.292	1	"2"	"FXR1"
"NFKB2"	0.000385550927667468	0.42156064331281	0.289	0.156	1	"2"	"NFKB2"
"RABGEF1"	0.00041743633189767	0.594755306073663	0.263	0.145	1	"2"	"RABGEF1"
"TPI11"	0.000418284484687231	0.250559342332903	0.868	0.738	1	"2"	"TPI1"
"ZNF622"	0.000435169510874204	0.551441000028635	0.281	0.152	1	"2"	"ZNF622"
"WHSC1L1"	0.000442894778936419	0.405461863981859	0.623	0.483	1	"2"	"WHSC1L1"
"GCN1L1"	0.000445831482217055	0.370859767752686	0.316	0.172	1	"2"	"GCN1L1"
"PPP3CC"	0.00046253582409911	0.497015328859582	0.281	0.148	1	"2"	"PPP3CC"
"ATP6V0B"	0.000462579017101688	0.49428498412284	0.439	0.283	1	"2"	"ATP6V0B"
"HCG4B"	0.000469523761163057	0.31897716366762	0.281	0.157	1	"2"	"HCG4B"
"YTHDF3"	0.000495217944835672	0.472979744861713	0.439	0.291	1	"2"	"YTHDF3"
"IK"	0.000496666281883656	0.391128842579457	0.623	0.458	1	"2"	"IK"
"PPA1"	0.000499889297458752	0.478252412653402	0.447	0.315	1	"2"	"PPA1"
"HELLS"	0.000501739794390219	0.474816745527723	0.404	0.268	1	"2"	"HELLS"
"HSPA9"	0.000504176881182798	0.287917915320834	0.693	0.546	1	"2"	"HSPA9"
"ETF1"	0.000505451304114762	0.426656311464892	0.535	0.392	1	"2"	"ETF1"
"GOLGA4"	0.000513385528581991	0.525450670865732	0.43	0.287	1	"2"	"GOLGA4"
"CHCHD21"	0.000558544863232458	0.279864304648594	0.789	0.663	1	"2"	"CHCHD2"
"PTPN131"	0.000567773171575538	0.538695654424304	0.263	0.145	1	"2"	"PTPN13"
"FBXW7"	0.000593187374662391	0.490489513943016	0.281	0.154	1	"2"	"FBXW7"
"GTF2H1"	0.000615757295713682	0.589955183841815	0.254	0.14	1	"2"	"GTF2H1"
"EIF3A"	0.000616142596674869	0.360978841253975	0.614	0.472	1	"2"	"EIF3A"
"TRIM13"	0.000616522729709397	0.482836943443371	0.395	0.244	1	"2"	"TRIM13"
"RP11-611O2.5"	0.000619678942385186	0.44973521561877	0.386	0.249	1	"2"	"RP11-611O2.5"
"FLCN"	0.000622942107079474	0.312790252927788	0.482	0.314	1	"2"	"FLCN"
"MRPL1"	0.000630723775254359	0.600833942373677	0.316	0.195	1	"2"	"MRPL1"
"PPP2CA"	0.000681668785611696	0.382977025785312	0.535	0.418	1	"2"	"PPP2CA"
"TMEM70"	0.000688695106024022	0.569016447242186	0.254	0.142	1	"2"	"TMEM70"
"ANXA11"	0.000690561797353197	0.578536116538201	0.342	0.22	1	"2"	"ANXA1"
