"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"MAT2A"	0.00153416721421821	0.270338884847518	0.526	0.445	1
"NKG7"	0.00155372341062659	0.68795512642749	0.171	0.109	1
"CREB1"	0.00156908005364122	0.365845469291976	0.371	0.269	1
"RP11-386G11.10"	0.00159248462540063	0.272036876173731	0.562	0.463	1
"CSNK1G2"	0.00166318819150094	0.324070303698683	0.135	0.073	1
"HCG18"	0.00167512379588579	0.372888315607606	0.347	0.257	1
"KDM5A"	0.00169450298081008	0.313516261264535	0.498	0.417	1
"IKZF4"	0.00169613486399948	-0.401562903616811	0.151	0.247	1
"PAN2"	0.00174747714613386	0.273672729391232	0.12	0.06	1
"PSMB6"	0.00175847497845696	-0.311616402440032	0.363	0.49	1
"RP3-395M20.8"	0.00176691904168626	-0.35940890153634	0.112	0.196	1
"MYCBP2-AS1"	0.00177383759407215	0.404443600133574	0.151	0.086	1
"IVNS1ABP"	0.0017919340165326	0.282993042975178	0.538	0.444	1
"DDX60"	0.00179741330648567	-0.45781847337406	0.151	0.236	1
"USP9Y"	0.00180308690330319	0.330874751899002	0.255	0.169	1
"AC021593.1"	0.00185044408223758	0.312509625375022	0.151	0.085	1
"SLFN5"	0.00187479259435332	-0.309510116845715	0.414	0.506	1
"BTG3"	0.0018805783832544	-0.337945315771772	0.315	0.439	1
"CASP1"	0.00189867860412484	-0.394882745557008	0.267	0.367	1
"SPPL2A"	0.00192229595352322	-0.353593637651579	0.187	0.292	1
"ERV3-1"	0.00193099222718119	0.368066767202402	0.12	0.062	1
"GCN1L1"	0.00193836407703449	0.307744978451977	0.255	0.167	1
"KIAA1671"	0.00194404129492721	0.366230804182752	0.131	0.072	1
"SRRT"	0.00197252042557471	0.356053827577699	0.339	0.245	1
"IL18R1"	0.00199258871351759	-0.33852842967734	0.195	0.302	1
"ABHD17A"	0.00200727921098065	0.335296020502136	0.131	0.07	1
"HBP1"	0.00201973826366217	0.337953463433193	0.414	0.33	1
"FTH1P7"	0.00205573160417472	-0.252344903903825	0.359	0.444	1
"DTX3L"	0.00206828509307728	-0.312374677593657	0.243	0.343	1
"TUBA1B"	0.00207188007763884	0.270256334408202	0.625	0.54	1
"RP11-78A19.3"	0.00208285049566967	0.369636647198629	0.307	0.226	1
"ZDHHC20"	0.0021011784872315	0.392767980683509	0.195	0.123	1
"DND1"	0.00211383493398757	-0.265726330448	0.052	0.119	1
"AHI1"	0.00213206838315588	0.304723469383742	0.371	0.261	1
"GBP1"	0.00215793285278041	-0.367557778509729	0.243	0.35	1
"PTK2B"	0.00218556287039693	0.260098443709731	0.526	0.426	1
"WDFY1"	0.00222327713511951	-0.394698095016239	0.191	0.285	1
"CHD1"	0.00223879506457867	0.264647742267617	0.582	0.481	1
"A2M"	0.00224053545165574	0.320014743810896	0.112	0.057	1
"ZBTB1"	0.00225107944828449	0.344198837112051	0.382	0.301	1
"RRP12"	0.00225276010134977	0.346168216457034	0.127	0.068	1
"RNASET2"	0.00226391043257129	0.341999979067111	0.398	0.3	1
"DCAF8"	0.00227791766929241	0.275067975678234	0.506	0.397	1
"LINC00861"	0.00229670083141471	0.354636044613866	0.283	0.194	1
"RGS2"	0.00233760284457039	0.268817905325268	0.542	0.465	1
"PSMA6"	0.00234617409671653	-0.300902577095295	0.382	0.497	1
"SMURF1"	0.00236042501166905	0.439496028138897	0.127	0.072	1
"TYMP"	0.00238529270171913	-0.312774194008432	0.251	0.369	1
"XBP1"	0.00240003988078637	0.377901106633855	0.211	0.134	1
"ORC4"	0.00240024356671922	0.2743761044582	0.231	0.148	1
"CHRM3-AS2"	0.00240413868254129	0.350253688226496	0.171	0.102	1
"ATP1A1"	0.0024154482856009	0.323363560169335	0.43	0.329	1
"ATP5C1"	0.00242581679445801	-0.320012298811799	0.355	0.462	1
"CDC42P6"	0.00245499526533955	-0.300201111953963	0.247	0.348	1
"S1PR4"	0.00248338183377405	0.388043776306822	0.147	0.085	1
"PMS2"	0.00249005862387895	0.267089930351478	0.1	0.049	1
"LTA"	0.00250219693364946	-0.430045598592886	0.159	0.245	1
"ZBP1"	0.0025037398075501	-0.406438868684747	0.116	0.199	1
"NDEL1"	0.00253006187438572	0.350473060696153	0.367	0.277	1
"IRS2"	0.00253889240215175	0.342380449741415	0.155	0.092	1
"SNHG5"	0.00254782460778494	0.271109805403657	0.566	0.484	1
"CDC16"	0.00256030733243744	0.403421674456578	0.135	0.076	1
"SAMHD1"	0.00258014413682984	-0.326669870858757	0.355	0.463	1
"C11orf83"	0.00258205398243721	0.273908202872447	0.147	0.082	1
"STAG3"	0.00258297699125356	0.326630375886214	0.263	0.184	1
"C5orf24"	0.00258906998376973	0.316367224600802	0.112	0.057	1
"NDUFA10"	0.00261858440434137	0.324075961083088	0.426	0.342	1
"TALDO1"	0.00263507675031393	-0.366479232180205	0.251	0.364	1
"CTSW"	0.00263908477471874	0.432912693997274	0.12	0.065	1
"ATHL1"	0.00265737877628892	0.279492947617607	0.394	0.293	1
"MIAT"	0.00269660849966549	-0.303457459411488	0.394	0.498	1
"CHMP2A"	0.00273125877754469	-0.322309755696982	0.287	0.38	1
"KLF9"	0.00275011002434877	0.336041299286485	0.108	0.056	1
"BZRAP1-AS1"	0.00277516530359069	0.310156526241734	0.143	0.081	1
"C3orf58"	0.00278420454463059	0.371760715857003	0.155	0.092	1
"C19orf60"	0.00280593248536073	-0.312931886385361	0.351	0.435	1
"SDE2"	0.00280843556873748	0.287553941542734	0.199	0.124	1
"RPN2"	0.00283507820506332	-0.265124537067324	0.402	0.518	1
"RP11-21J18.1"	0.00284716281996629	-0.403242440989598	0.155	0.237	1
"TRAPPC1"	0.0028507036011216	-0.266214307726333	0.39	0.464	1
"CRLS1"	0.00288273025149468	0.398689856695299	0.116	0.061	1
"JMJD6"	0.00289584061773495	0.361338406259535	0.283	0.202	1
"COPS3"	0.00290906841037929	0.334083343165327	0.235	0.156	1
"AC016708.2"	0.00291593833962842	-0.327466470717652	0.06	0.126	1
"AKAP2"	0.00296677870080139	-0.343409463034504	0.088	0.166	1
"RBM17"	0.00298519392039453	-0.33375233712997	0.295	0.409	1
"RNF7"	0.00301672313054162	-0.359659426168659	0.255	0.337	1
"MAP1LC3A"	0.00303414331984936	-0.405182160003754	0.147	0.235	1
"LARP4B"	0.00308635297459776	0.303104914396828	0.458	0.375	1
"ZNF646"	0.00314473461109498	0.27744519015053	0.127	0.069	1
"TM9SF3"	0.00319163638363372	0.273121932578259	0.279	0.191	1
"ARHGEF18"	0.00321590990005078	0.337571284309678	0.163	0.098	1
"SLC16A7"	0.00326573241206975	0.384295827851375	0.127	0.07	1
"NDUFA9"	0.00326651629424618	-0.389125592823932	0.159	0.251	1
"SEMA4A"	0.00326941964196279	0.336201268133561	0.139	0.078	1
"GGCX"	0.0032833093996502	0.302600516133069	0.183	0.112	1
"H2AFX"	0.00333805493338108	0.267072925188087	0.159	0.093	1
"GALM"	0.00334713463263382	-0.28639053156946	0.442	0.538	1
"NLK"	0.00340968332785891	0.30516332134865	0.1	0.05	1
"BTN3A1"	0.00341026022593286	-0.289097778941387	0.386	0.481	1
"UBA3"	0.00342881687827957	-0.39174248003968	0.223	0.308	1
"SBNO1"	0.00346425100249158	0.264779383044407	0.494	0.389	1
"CCDC91"	0.00347763746639533	0.336025701350674	0.323	0.236	1
"RASSF1"	0.00355912112954834	0.376665639690545	0.239	0.161	1
"RP11-640M9.1"	0.0035722795320871	0.356635291294253	0.251	0.175	1
"STAG3L5P"	0.00358833187549109	0.355015411164255	0.211	0.14	1
"IFI30"	0.0035983342721998	-0.463178778225423	0.06	0.123	1
"RNF168"	0.0036077796348639	0.283211962575759	0.367	0.267	1
"GOLPH3L"	0.00362059777832842	0.261109380975057	0.104	0.052	1
"GLUL"	0.00363194339872814	-0.314559413638451	0.044	0.104	1
"PDE4B"	0.00367123299859441	-0.274902977024916	0.418	0.539	1
"CISH"	0.00368119992429096	-0.454635475700076	0.064	0.129	1
"GUSBP9"	0.00368653349320641	0.35371972017729	0.151	0.09	1
"IL12RB1"	0.0037198583947182	-0.371920857618938	0.199	0.288	1
"STK17A"	0.00376782538590613	0.331113403073345	0.319	0.234	1
"EEA1"	0.00379051845845102	0.325598083217129	0.12	0.065	1
"HLA-DQA1"	0.00381953261220746	-0.449048313765967	0.147	0.227	1
"SFXN3"	0.00382904256805039	-0.450859526535714	0.131	0.205	1
"FAM21B"	0.00384257390415293	0.34553187845432	0.147	0.087	1
"AP006216.11"	0.00393522038398362	0.283870493435952	0.104	0.053	1
"INTS1"	0.00393729309431412	0.364915378268689	0.183	0.116	1
"HLA-U"	0.00396012687867803	-0.360807689017899	0.167	0.258	1
"TNIK"	0.00398196213040744	-0.291974800513195	0.307	0.405	1
"ECH1"	0.00399532822678284	-0.255513512406496	0.438	0.543	1
"PITPNC1"	0.00400753976474974	0.308220155836814	0.187	0.118	1
"RIF1"	0.00402302964460935	-0.276069246023965	0.215	0.318	1
"AOAH"	0.00410182355583899	0.368341185082305	0.139	0.082	1
"ACOT2"	0.00415428778221647	-0.389899851563602	0.076	0.143	1
"IMP3"	0.00415897382274183	-0.407152196668699	0.167	0.245	1
"CISD2"	0.00422924337621635	-0.414257931787702	0.155	0.241	1
"RNASEH2B"	0.00433986038666205	0.36585253775153	0.235	0.161	1
"ABCF1"	0.00437071104362425	0.329100403807873	0.327	0.243	1
"CNOT11"	0.00437354395178894	0.327086380323661	0.151	0.091	1
"RSRC1"	0.00441494397405591	-0.333012398048739	0.191	0.28	1
"RABEP1"	0.00443946688389286	0.281563780680913	0.303	0.215	1
"LGALS3BP"	0.00444572488564799	-0.42678584376659	0.104	0.175	1
"PTPN13"	0.00445806866938358	-0.331506825682782	0.1	0.174	1
"NABP2"	0.00448396005406638	-0.404313637165132	0.096	0.167	1
"CREBRF"	0.00449774430885866	0.329362278631408	0.299	0.218	1
"AHCTF1"	0.00451214848003887	0.250985869609373	0.191	0.12	1
"MGA"	0.00453524722994652	0.288250029724501	0.295	0.21	1
"IKBKB"	0.00455132626345056	-0.28201237168864	0.287	0.394	1
"TMED3"	0.00457492727568631	-0.366396469259797	0.112	0.188	1
"TRIM52"	0.00457886132913167	0.380347012064725	0.127	0.073	1
"APOL6"	0.00457944099445745	-0.279610102006326	0.351	0.443	1
"EMC4"	0.00458587609565062	-0.367966247398396	0.239	0.329	1
"TTTY15"	0.00471125602451881	0.305464509415713	0.271	0.184	1
"PDIA6"	0.00476194181269996	-0.275741286414928	0.347	0.44	1
"NUCB1"	0.00477592691921619	-0.278655527548169	0.363	0.449	1
"PLEKHM1"	0.00482153929227125	-0.292141652707306	0.235	0.329	1
"TNFRSF9"	0.00483840351493766	-0.37408817502378	0.163	0.251	1
"OSGEP"	0.00488066789717251	0.412048434650049	0.167	0.103	1
"SIAH2"	0.00489049638409138	0.303012619411394	0.135	0.078	1
"FBXW5"	0.00492042456872586	-0.326634259350665	0.227	0.327	1
"RLTPR"	0.00492989989108713	0.27835675325467	0.116	0.062	1
"RP11-490H24.5"	0.00493250505990161	-0.343487117439869	0.179	0.252	1
"EXOC3"	0.00498006250377022	0.352679372705651	0.159	0.098	1
"ALG13"	0.00510734081423899	0.311712185792323	0.339	0.247	1
"ERP44"	0.00514268140598997	-0.270450674521353	0.275	0.375	1
"TERF2IP"	0.00515978995190486	0.309458342334014	0.347	0.263	1
"KLRB1"	0.00518666190615634	-0.316189536001951	0.259	0.35	1
"DND1P1"	0.0052648704997249	-0.278049135997929	0.044	0.101	1
"RBX1"	0.00528623596625602	-0.282082793902376	0.299	0.385	1
"CREB3L2"	0.00531247149983797	-0.269466506538595	0.279	0.385	1
"STAG3L2"	0.00539127101584634	0.258843104336588	0.382	0.285	1
"NCOA1"	0.00540578866588033	0.295864694498741	0.307	0.225	1
"LINC00426"	0.0054156988810453	-0.396622097678954	0.12	0.194	1
"DUOX1"	0.00545188297566073	0.316345527761654	0.112	0.061	1
"MIEN1"	0.00547750922464366	-0.362795527951216	0.167	0.245	1
"RPS27L"	0.00551787509837564	-0.332374940801107	0.279	0.365	1
"MBP"	0.00552427734773699	0.308883148773187	0.263	0.184	1
"PAXBP1"	0.00553608684537833	0.341013665063911	0.231	0.16	1
"UEVLD"	0.00556766927955984	-0.327916984228623	0.048	0.107	1
"ZBTB44"	0.00563142920490467	0.317109763184001	0.203	0.135	1
"CDK17"	0.00565610846001174	0.337865501365343	0.311	0.233	1
"LARS"	0.00566672833837469	0.329560438877607	0.307	0.232	1
"RP11-415F23.2"	0.00567534311186372	-0.419529460373053	0.052	0.109	1
"NARS"	0.00567780398014544	0.360544249044666	0.267	0.192	1
"ATF1"	0.00573857504579705	0.337116663237007	0.175	0.11	1
"EIF6"	0.00578069921642216	-0.377586946773096	0.183	0.266	1
"PITHD1"	0.00581282423277658	0.318967577092661	0.299	0.219	1
"ERLEC1"	0.00583065953038546	-0.322351905905543	0.199	0.283	1
"PDE4A"	0.00585270692135922	-0.316595258081991	0.183	0.266	1
"AC005944.2"	0.00586032941877598	0.291630309187444	0.287	0.21	1
"C17orf62"	0.0058651647755256	-0.269283887965723	0.49	0.608	1
"SLX1A"	0.00594112507986199	-0.292157913950626	0.287	0.379	1
"IMPDH1"	0.00599723768634951	-0.308785107468466	0.06	0.121	1
"RHOT1"	0.00601158875393785	0.346050454620039	0.116	0.065	1
"GUSB"	0.00601336804646433	-0.39196918534937	0.163	0.243	1
"ZCCHC9"	0.00603890286761495	-0.385124318013684	0.08	0.144	1
"UPF3B"	0.00605182575466875	0.32928524815048	0.243	0.17	1
"PNO1"	0.00605247516612225	0.319057198261053	0.143	0.085	1
"PKNOX1"	0.00606538400890261	0.339004715307514	0.112	0.061	1
"UBQLN2"	0.0060654413950265	-0.282589708462712	0.143	0.233	1
"LSMD1"	0.00607511417226208	-0.3800571355735	0.088	0.157	1
"JHDM1D"	0.00612285822340339	0.273709046520593	0.151	0.092	1
"MFSD12"	0.00613321285121044	0.286122949151946	0.112	0.061	1
"MINOS1"	0.00615231455177993	-0.29011663803557	0.271	0.356	1
"FASTKD5"	0.00616240530720614	0.321573289590093	0.131	0.076	1
"ALDH16A1"	0.00621067990514955	0.329958646548205	0.195	0.129	1
"GGT1"	0.00623919866923845	-0.41686414282376	0.076	0.142	1
"RNU1-125P"	0.00624127517973132	-0.413150348263908	0.108	0.179	1
"AP3M1"	0.00631232853329735	-0.332242041808142	0.104	0.176	1
"ITM2C"	0.00634832739519287	0.419466343883111	0.112	0.064	1
"SLC35E2"	0.00635159580519868	0.339693049115393	0.239	0.17	1
"FAM162A"	0.00635262568459361	0.377003284372135	0.175	0.112	1
"KLHL12"	0.00648963684328812	0.388091543811953	0.147	0.091	1
"MYLIP"	0.00658231787213966	0.345669554020039	0.195	0.129	1
"HLA-DPB1"	0.0066147435296023	-0.263981092019061	0.446	0.536	1
"MKRN1"	0.00662788867583026	0.334151862510388	0.167	0.106	1
"CTNNA1"	0.00664492295678435	-0.314075534895104	0.096	0.169	1
"WDR45"	0.00676001618699522	0.343293122524533	0.215	0.142	1
"DANCR"	0.00677871468487722	0.38355034776211	0.175	0.115	1
"RAP1A"	0.00679324928529531	-0.322609015335585	0.235	0.327	1
"NMB"	0.00681793042658917	0.372397965682311	0.207	0.14	1
"ZNF326"	0.00682893602996297	0.326665298029585	0.175	0.114	1
"TNRC6C"	0.00692403641158691	0.32956042352039	0.187	0.124	1
"NEMF"	0.00693268204326989	-0.355965608189533	0.227	0.312	1
"CRADD"	0.00693341969891291	-0.392463472145686	0.108	0.182	1
"CADM1"	0.00695899639194856	-0.312135751364651	0.096	0.167	1
"HN1"	0.00699308209030697	-0.348213572052819	0.259	0.354	1
"RNF2"	0.00705465682320667	0.361740773050601	0.255	0.183	1
"KIAA1033"	0.00717577013412441	0.310934665806274	0.207	0.138	1
"CTTN"	0.00731695737942363	0.397591619331287	0.155	0.099	1
"GPR89A"	0.00733555435072637	0.348430463613265	0.287	0.215	1
"TCP11L2"	0.00746339461957502	0.29437820215143	0.179	0.115	1
"PPIF"	0.00751417632672585	-0.36656065540505	0.104	0.173	1
"PBX4"	0.0076228136112187	-0.324122793794587	0.211	0.308	1
"NFKB1"	0.00773246930089455	0.327000275381174	0.275	0.203	1
"TAOK3"	0.00777523664969955	-0.306696042251293	0.239	0.322	1
"SLC11A2"	0.00777666841412754	-0.298609595304239	0.108	0.182	1
"BCL6"	0.00778624273713182	0.297489468669586	0.359	0.271	1
"CD200R1"	0.00782299658118013	-0.380362779702525	0.052	0.108	1
"CNNM3"	0.00783024991518777	0.274763131254677	0.135	0.081	1
"SLX1B"	0.00786952820341021	-0.297730664742466	0.227	0.312	1
"NECAP2"	0.00800269043222809	-0.274264656154521	0.347	0.454	1
"SEC23B"	0.00806462414160797	-0.363612448689572	0.183	0.262	1
"DHX15"	0.00822771662275029	0.276064261702989	0.375	0.299	1
"IRF5"	0.00823789017735319	-0.379581154540589	0.124	0.194	1
"BPTF"	0.00833899270667251	0.256822921958908	0.522	0.457	1
"CHURC1-FNTB"	0.00835186651081537	-0.373940326491765	0.1	0.166	1
"TWF1"	0.00835259052561528	-0.36305358033919	0.088	0.152	1
"IFI35"	0.00836038053815288	-0.392918485684138	0.143	0.217	1
"PCIF1"	0.00838846214936711	-0.366828212328823	0.247	0.322	1
"RP11-611O2.5"	0.00843997605671929	-0.309128752691848	0.199	0.28	1
"CXorf40B"	0.00845038831449231	0.296889705146793	0.295	0.217	1
"TCF3"	0.00846201373417778	0.298634305424796	0.127	0.075	1
"RARS2"	0.0084885379319668	-0.338724383347055	0.143	0.217	1
"CDKN2AIP"	0.00857982852456269	0.350806193618121	0.159	0.101	1
"RP11-220I1.1"	0.0085874401101058	0.339042615362421	0.267	0.194	1
"IP6K1"	0.00862865276179402	0.302888195784581	0.171	0.109	1
"BTBD19"	0.00881162680469902	0.255003073176983	0.163	0.102	1
"MAN2B1"	0.00882876305899067	-0.31136066903825	0.211	0.3	1
"P2RY10"	0.00885017554578069	-0.282255869441379	0.287	0.389	1
"RP11-206L10.9"	0.00889339361841822	0.315885150110677	0.159	0.103	1
"VDAC1"	0.00892377795840795	-0.28632452604653	0.363	0.454	1
"C9orf37"	0.00898421880353619	-0.328480680878231	0.06	0.118	1
"ANXA5"	0.00898502298904415	-0.301244616807613	0.315	0.396	1
"TET3"	0.00905419293391661	0.331931183140431	0.163	0.107	1
"RP11-101E13.5"	0.00907165159561349	-0.322197557894674	0.175	0.251	1
"EI24"	0.00921703637280767	0.266126312648242	0.116	0.066	1
"LRBA"	0.00924203594573965	0.286935127896066	0.434	0.364	1
"C1orf35"	0.00926539300977103	0.292874102910384	0.12	0.068	1
"PAIP1"	0.00932150200084946	0.285340089673658	0.167	0.107	1
"NUDT14"	0.00934615667374913	-0.33645751042461	0.056	0.114	1
"HLA-DRA"	0.00936944675173999	-0.31783290350079	0.335	0.422	1
"C1orf112"	0.00937523426158642	-0.258683463615725	0.092	0.157	1
"BTBD2"	0.0094314424582761	0.258305793984774	0.108	0.06	1
"ATP13A3"	0.00948610713389993	0.305043353928144	0.251	0.179	1
"CYB5R3"	0.00952525686834882	-0.289712365497773	0.211	0.295	1
"PLAGL2"	0.00972952826741585	-0.303181222985051	0.092	0.158	1
"RAD51B"	0.00975646134230282	0.351169943068462	0.135	0.083	1
"TSEN15"	0.0098739647481591	0.33577173648423	0.191	0.127	1
"IKBKE"	0.00989324648423592	-0.296786127949374	0.235	0.326	1
"RPS5P2"	0.00991360054740485	0.388934963376188	0.104	0.058	1
"TNFSF10"	0.00991503999305141	-0.352246033743695	0.127	0.205	1
"SULT1A1"	0.0100265758914985	0.262479325983112	0.127	0.076	1
"LRPAP1"	0.0100793942793595	-0.287787427118029	0.279	0.351	1
"DAAM1"	0.0101419898489661	-0.301365777269781	0.048	0.1	1
"PPCS"	0.0101423938243858	-0.338444609231849	0.223	0.301	1
"ATP11B"	0.010308302740438	0.306410160722024	0.283	0.211	1
"ABCG1"	0.0103852890688739	0.299110491487635	0.307	0.232	1
"RP11-1023L17.1"	0.0104329660487156	0.275776006671141	0.203	0.137	1
"POM121C"	0.0104432111482703	0.31973742524039	0.347	0.277	1
"NR4A3"	0.0104578929700089	0.292293419998419	0.271	0.2	1
"GFOD1"	0.0104849942605606	0.319468403587966	0.124	0.074	1
"TMBIM4"	0.0104939677872376	-0.272550354844035	0.422	0.498	1
"VDAC3"	0.0105000044701001	-0.317845052833564	0.199	0.272	1
"PIK3C3"	0.0107411462287531	0.373845820933566	0.283	0.216	1
"CAPN1"	0.0107590910912343	-0.298800090586896	0.259	0.356	1
"PPFIA1"	0.0108271296280702	0.261951414129533	0.159	0.101	1
"IDH2"	0.0108359316016598	-0.275125869614452	0.295	0.385	1
"BCL2L1"	0.0109260572644825	-0.301410707134751	0.215	0.302	1
"SPATS2L"	0.0110948344294847	-0.327335671092435	0.171	0.246	1
"POLR2C"	0.0112277527029553	-0.325208096938048	0.12	0.186	1
"LEPROT"	0.0112750386190002	-0.286538508359063	0.143	0.219	1
"ARHGAP10"	0.0112779368654587	0.328008817360368	0.175	0.117	1
"RP11-631M6.2"	0.011343930621913	0.269662067822172	0.147	0.092	1
"IRF7"	0.0113861594113523	-0.304006051183626	0.239	0.319	1
"TRIM28"	0.0114604453773079	0.33046325953956	0.195	0.132	1
"FXR1"	0.0114839458674721	0.258225590520805	0.371	0.287	1
"SNHG14"	0.0115712316436325	0.377061862113371	0.191	0.131	1
"USP18"	0.0116037896342374	-0.392719375044589	0.052	0.102	1
"TMEM140"	0.0116156665426223	-0.286510063053658	0.307	0.386	1
"AGPAT6"	0.0116157618698663	-0.326999207649797	0.171	0.245	1
"WDR47"	0.0117351398121391	0.294323276927351	0.1	0.056	1
"TTC13"	0.0117460275102027	0.334277559595128	0.151	0.098	1
"TRAV8-3"	0.0117578189945348	-0.369828466398142	0.068	0.125	1
"FOXJ3"	0.0117633968995775	0.268853229343758	0.347	0.27	1
"INTS9"	0.0117916212723571	0.301502684162194	0.195	0.133	1
"MGAT4A"	0.0118421680062642	0.390407724231072	0.179	0.123	1
"ALKBH5"	0.0119087204540542	0.28938045338383	0.195	0.131	1
"PDXK"	0.0120136989581187	0.30674452166999	0.155	0.1	1
"FYCO1"	0.0120904028597745	-0.328422933843067	0.171	0.242	1
"GTF2IRD2B"	0.0121057539892595	0.281153656877335	0.116	0.068	1
"RBCK1"	0.0121144754627409	-0.257312872295349	0.331	0.415	1
"LAMP2"	0.0122099551262174	-0.316629714197009	0.243	0.321	1
"RANBP3"	0.0122110264061947	0.269159649590152	0.406	0.329	1
"CPM"	0.0123329337077214	0.33716448858751	0.171	0.112	1
"PPP5C"	0.0123663590322607	-0.299422774923866	0.12	0.188	1
"DENND6B"	0.0124058678324048	-0.302365689973213	0.06	0.115	1
"C18orf25"	0.0124505259135914	0.334531471359241	0.275	0.204	1
"RAC1P2"	0.0125941345608997	0.339374983467571	0.167	0.115	1
"RBM34"	0.01261742436413	-0.273563665278875	0.255	0.339	1
"SMEK2"	0.0126798146157229	0.273321937786666	0.378	0.302	1
"CDC34"	0.0128105053985562	0.253779842771275	0.112	0.065	1
"TRABD2A"	0.0128804740942559	-0.259458441784623	0.072	0.132	1
"CDC25B"	0.0129413204203005	0.277938039008648	0.155	0.1	1
"PLEKHF2"	0.013025978413669	0.290304917361376	0.155	0.099	1
"GRIPAP1"	0.013260760241777	-0.29396782771299	0.187	0.267	1
"UNC50"	0.0133040829965719	0.307508738564484	0.199	0.134	1
"PEX16"	0.013325122503151	-0.34604474942463	0.112	0.178	1
"ZBED2"	0.0133669635200999	-0.301886270541899	0.108	0.177	1
"RP11-61L23.2"	0.0133722001153777	-0.254381934966367	0.355	0.444	1
"ENOSF1"	0.0135178670163506	0.336889207898659	0.255	0.191	1
"PHF19"	0.013543033656076	0.377938820541941	0.227	0.167	1
"POMT1"	0.0136257404688115	0.308909233358173	0.211	0.146	1
"RP11-138C9.1"	0.013712567612931	0.308643359105272	0.275	0.203	1
"TAOK2"	0.0137672681083706	0.2816130021182	0.159	0.104	1
"BTLA"	0.0138290253317073	-0.305970935959926	0.219	0.299	1
"CCDC82"	0.0138781166080923	-0.315445822348164	0.096	0.16	1
"RP11-316P17.2"	0.0138879260283128	-0.300872941164839	0.056	0.109	1
"FAM107B"	0.0139606618081889	0.270909787003949	0.442	0.392	1
"BCL7B"	0.0140877873748217	0.304283807257541	0.167	0.11	1
"FLOT1"	0.0141297284375238	-0.415541323660229	0.112	0.171	1
"PSMC2"	0.0141373952008405	-0.332069610503052	0.187	0.26	1
"POGZ"	0.0141535078804545	0.261803391344481	0.307	0.233	1
"KLHDC4"	0.0142575724512456	0.269430116562269	0.207	0.143	1
"EBI3"	0.0143159640107894	-0.382378769537478	0.052	0.101	1
"NAGA"	0.0143397209278206	-0.355057893764819	0.131	0.195	1
"RRN3P2"	0.0143661234881312	0.289727877933836	0.347	0.276	1
"GLS"	0.0143868073898304	0.284360511740988	0.394	0.33	1
"JKAMP"	0.0144559141687996	-0.337912480203108	0.116	0.185	1
"MYD88"	0.0144865636129444	-0.286439012867574	0.199	0.278	1
"ZNF143"	0.0145592176848177	0.304153123540368	0.159	0.103	1
"F5"	0.0146755188721779	-0.272166999380808	0.235	0.312	1
"USP4"	0.0148035721603884	0.253723366606062	0.382	0.304	1
"PVT1"	0.0148621400361838	-0.250013178802985	0.375	0.453	1
"PRKD3"	0.0150050370647151	0.288065377071722	0.159	0.104	1
"GPS1"	0.0150803343000253	-0.315190314329102	0.183	0.254	1
"ATF4"	0.0150983168858118	0.25918056561013	0.438	0.372	1
"COX14"	0.0151846369621859	-0.331758502465324	0.183	0.258	1
"METTL9"	0.0152045445102231	0.340985012919232	0.179	0.126	1
"USB1"	0.0152541154054635	-0.309862091421211	0.151	0.219	1
"FAM102A"	0.0152716888838703	0.264058826245436	0.339	0.259	1
"PAM"	0.0153406315943477	-0.25060035491951	0.299	0.387	1
"LUC7L"	0.015351557216391	0.274366104312091	0.307	0.226	1
"SLC33A1"	0.0153775005470068	0.284061993745154	0.163	0.107	1
"JOSD1"	0.0154177264044433	0.255984730534238	0.227	0.16	1
"SLC25A16"	0.0154331701050448	0.270853688929042	0.1	0.057	1
"PIGS"	0.0154848281818844	-0.360708875751685	0.175	0.244	1
"NPC2"	0.0155359807856338	-0.340492912995956	0.124	0.188	1
"MYO9B"	0.0155630093325839	0.254164613708005	0.279	0.208	1
"NBPF13P"	0.0156011685675376	0.250452222633436	0.143	0.092	1
"SCRN2"	0.0157967668032053	-0.377313155239202	0.056	0.107	1
"MSL3"	0.0158141336455255	0.276705955505793	0.311	0.235	1
"HECTD4"	0.0158785686303094	0.279114417002705	0.335	0.266	1
"MB21D1"	0.0159463335070388	0.304190233261835	0.187	0.129	1
"RNF207"	0.0159805494938545	-0.330902642258808	0.064	0.116	1
"TXLNG2P"	0.0161385137720947	0.3667575375779	0.163	0.11	1
"ZNF529"	0.0161568787117236	0.268036724385544	0.139	0.089	1
"APBB3"	0.0163305170518008	0.322593975549242	0.167	0.112	1
"PCNX"	0.0163969260291156	0.278196448729702	0.359	0.288	1
"LPIN2"	0.016482144690768	-0.277895493767762	0.223	0.3	1
"H2AFY"	0.0164908293979118	0.29915332525756	0.371	0.314	1
"NUP85"	0.0164955437761376	-0.368007979566288	0.104	0.165	1
"B3GNT2"	0.0165616616460326	0.289669305061192	0.263	0.202	1
"CARHSP1"	0.0166965980476507	0.263135777793992	0.331	0.257	1
"PLCL2"	0.0167499663633352	0.341668436442788	0.171	0.118	1
"RANBP9"	0.0170423569339015	0.313072770682849	0.243	0.179	1
"SERTAD1"	0.0170699647853474	0.274954420227257	0.291	0.224	1
"NEK7"	0.0174424927302591	0.301314192204504	0.159	0.107	1
