"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"
"UTY"	5.30871340598638e-07	0.481151155460249	0.442	0.279	0.0141015354203216
"TCF7"	5.6203415145385e-07	0.479517122379565	0.43	0.262	0.0149293131650686
"LY6E"	5.68133339281869e-07	-0.366854955174245	0.49	0.652	0.0150913258913443
"CCR8"	6.57657454921678e-07	-0.708778117416023	0.135	0.291	0.0174693549750845
"TRGC2"	6.86943643378154e-07	0.682469149096683	0.147	0.056	0.0182472839990539
"CSF1"	7.7919568808295e-07	-0.686760246083561	0.068	0.2	0.0206977750625474
"FAM53C"	8.63788368246128e-07	0.578243349171163	0.271	0.145	0.0229448104257219
"ZNF275"	9.10281720278828e-07	0.475169713641193	0.159	0.062	0.0241798133357665
"TPI1P1"	9.7264994957429e-07	-0.396572323655674	0.351	0.502	0.0258365006105419
"CD8B"	1.01684112786125e-06	0.615189331733532	0.104	0.031	0.0270103508793785
"AES"	1.10532382037112e-06	0.477697410950542	0.422	0.266	0.0293607166405179
"METTL21A"	1.15809112886357e-06	0.570788613531936	0.283	0.157	0.030762374656003
"GBP4"	1.31838409293687e-06	-0.537213756671643	0.255	0.423	0.0350202366606822
"GAPDHP65"	1.68340166638501e-06	-0.307359827002247	0.382	0.548	0.0447161984641851
"CLNS1A"	1.77356568544814e-06	-0.554270557414374	0.239	0.406	0.047111225302559
"CTB-147C22.3"	1.82018003432228e-06	-0.508018765653426	0.008	0.1	0.0483494422517028
"TAP1"	2.1097443007842e-06	-0.335544394560879	0.602	0.743	0.0560411378617306
"MIR24-2"	2.11565023168008e-06	0.418078288234922	0.55	0.415	0.0561980171041181
"SLAMF7"	2.53592300458808e-06	0.597267637548276	0.112	0.037	0.0673617227708731
"NUCB2"	2.86548723877985e-06	0.622657898419113	0.235	0.121	0.0761159375237092
"ETV7"	3.55995169094275e-06	-0.592726092035902	0.167	0.314	0.0945629967665124
"ADAM19"	3.93963279288032e-06	-0.374413656887154	0.454	0.595	0.10464846587728
"CCDC64"	4.35155149452692e-06	0.517502656048567	0.327	0.198	0.115590262349119
"RASGRP2"	4.65608498525841e-06	0.412806107702638	0.131	0.049	0.123679585463419
"NFKBIA"	5.18925438420292e-06	-0.256612298043795	0.693	0.822	0.137842164207582
"RPS2P5"	5.4254994030607e-06	0.317674886630482	0.653	0.523	0.144117540643501
"GSE1"	5.68574871771735e-06	0.415017310909981	0.215	0.107	0.151030543188726
"BAG3"	5.76087725746266e-06	0.714571735981203	0.203	0.106	0.153026182589981
"WDR74"	5.99483949344347e-06	0.544900633087289	0.418	0.291	0.159240921464339
"OAS1"	6.67887583957645e-06	-0.647912828210494	0.112	0.247	0.177410978926669
"FLII"	7.24572013369355e-06	-0.458586641794907	0.311	0.479	0.192468063911302
"CXCR3"	7.25945736527329e-06	-0.42865838985932	0.378	0.539	0.192832965993754
"APOBEC3D"	7.52243577968018e-06	-0.448603638743563	0.363	0.509	0.199818461615645
"SIK1"	7.71605875834307e-06	0.454830647049518	0.43	0.299	0.204961668797867
"ZNF331"	8.44296020111523e-06	0.252387643009392	0.709	0.642	0.224270351822224
